_id,_submission_time,lat,lon,altitude,precision,objeto,estado,tipo_de_contenedor,otro_tipo,tipos_de_basura,observaciones,photo_url
48865776,2020-03-14 01:41:45+00,-17.38912021,-66.15289405,2629,5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/n9cDj3NH"" target=""_blank""><img src=""https://i.postimg.cc/n9cDj3NH/1583592338798.jpg"" alt=""1583592338798""/></a><br/><br/>"
48865780,2020-03-14 01:41:50+00,-17.38830477,-66.15309622,2598,5,Contenedor,Bueno,Grande (verde),,,,"<a href=""https://postimg.cc/QVX5yMCR"" target=""_blank""><img src=""https://i.postimg.cc/QVX5yMCR/1583592462802.jpg"" alt=""1583592462802""/></a><br/><br/>"
48865782,2020-03-14 01:41:56+00,-17.38817708,-66.15295239,2613,5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/F1Dc5QJ1"" target=""_blank""><img src=""https://i.postimg.cc/F1Dc5QJ1/1583592536354.jpg"" alt=""1583592536354""/></a><br/><br/>"
48866062,2020-03-14 01:58:20+00,-17.38820252,-66.15311977,2627,5,Contenedor,Malo,Trilliza,,,Uno de sus tres basureros est´å ajustado al revés,"<a href=""https://postimg.cc/CZTnHh9r"" target=""_blank""><img src=""https://i.postimg.cc/CZTnHh9r/1583592605861.jpg"" alt=""1583592605861""/></a><br/><br/>"
48866063,2020-03-14 01:58:25+00,-17.38714438,-66.15321089,2605,5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/sMZZhQHZ"" target=""_blank""><img src=""https://i.postimg.cc/sMZZhQHZ/1583592731363.jpg"" alt=""1583592731363""/></a><br/><br/>"
48866077,2020-03-14 01:59:01+00,-17.3869055,-66.15331993,2601,4,Contenedor,Regular,Grande (verde),,,,"<a href=""https://postimg.cc/ftM3pHzx"" target=""_blank""><img src=""https://i.postimg.cc/ftM3pHzx/1583592805451.jpg"" alt=""1583592805451""/></a><br/><br/>"
48866078,2020-03-14 01:59:06+00,-17.38520012,-66.15429785,2614,4.5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/HJwcSGgY"" target=""_blank""><img src=""https://i.postimg.cc/HJwcSGgY/1583593002983.jpg"" alt=""1583593002983""/></a><br/><br/>"
48866084,2020-03-14 01:59:18+00,-17.38633017,-66.15215108,2609,4,Contenedor,Regular,Grande (verde),,,Al lado de otros dos,"<a href=""https://postimg.cc/349yTgNz"" target=""_blank""><img src=""https://i.postimg.cc/349yTgNz/1583594064207.jpg"" alt=""1583594064207""/></a><br/><br/>"
48866087,2020-03-14 01:59:27+00,-17.38636713,-66.15214781,2603,4.5,Contenedor,Regular,Grande (verde),,,,"<a href=""https://postimg.cc/Wq3dbhJz"" target=""_blank""><img src=""https://i.postimg.cc/Wq3dbhJz/1583594111800.jpg"" alt=""1583594111800""/></a><br/><br/>"
48866088,2020-03-14 01:59:33+00,-17.38638104,-66.15214773,2594,4,Contenedor,Regular,Grande (verde),,,,"<a href=""https://postimg.cc/145nKYYS"" target=""_blank""><img src=""https://i.postimg.cc/145nKYYS/1583594143348.jpg"" alt=""1583594143348""/></a><br/><br/>"
48866089,2020-03-14 01:59:37+00,-17.38781787,-66.15184288,2607,4.5,Contenedor,Regular,Grande (verde),,,,"<a href=""https://postimg.cc/Rqs3pQjH"" target=""_blank""><img src=""https://i.postimg.cc/Rqs3pQjH/1583595051805.jpg"" alt=""1583595051805""/></a><br/><br/>"
48866091,2020-03-14 01:59:52+00,-17.38863133,-66.15169267,2601,5,Contenedor,Regular,Grande (verde),,,,"<a href=""https://postimg.cc/56DXb999"" target=""_blank""><img src=""https://i.postimg.cc/56DXb999/1583595136767.jpg"" alt=""1583595136767""/></a><br/><br/>"
48866092,2020-03-14 01:59:58+00,-17.39016241,-66.15159569,2607,5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/PPCCgvjF"" target=""_blank""><img src=""https://i.postimg.cc/PPCCgvjF/1583595346386.jpg"" alt=""1583595346386""/></a><br/><br/>"
48425265,2020-03-08 10:22:27+00,-17.39330732,-66.1587287,2563,13,Contenedor,Bueno,Grande (verde),,,,"<a href=""https://postimg.cc/sBr1GnZt"" target=""_blank""><img src=""https://i.postimg.cc/sBr1GnZt/1583598613241.jpg"" alt=""1583598613241""/></a><br/><br/>"
48425266,2020-03-08 10:22:28+00,-17.3932901,-66.15852539,2581,22,Contenedor,Bueno,Grande (verde),,,,"<a href=""https://postimg.cc/MnRvTkX7"" target=""_blank""><img src=""https://i.postimg.cc/MnRvTkX7/1583598889587.jpg"" alt=""1583598889587""/></a><br/><br/>"
48425267,2020-03-08 10:22:29+00,-17.39326064,-66.15864097,2599,7,Contenedor,Bueno,Grande (verde),,,,"<a href=""https://postimg.cc/Lq35tzth"" target=""_blank""><img src=""https://i.postimg.cc/Lq35tzth/1583598941182.jpg"" alt=""1583598941182""/></a><br/><br/>"
48425270,2020-03-08 10:22:31+00,-17.39239489,-66.15877166,2580,5,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/0M5Qcbnn"" target=""_blank""><img src=""https://i.postimg.cc/0M5Qcbnn/1583599047544.jpg"" alt=""1583599047544""/></a><br/><br/>"
48425271,2020-03-08 10:22:32+00,-17.39362356,-66.15877867,2598,11,Contenedor,Bueno,Trilliza,,,,"<a href=""https://postimg.cc/LYys720p"" target=""_blank""><img src=""https://i.postimg.cc/LYys720p/1583599205115.jpg"" alt=""1583599205115""/></a><br/><br/>"
70566354,2020-10-15 18:52:34+00,-17.38787516,-66.15189845,2613,5,Botadero,,,,"Vegetal, hogar, escombros",Basurero previamente mapeado,"<a href=""https://postimg.cc/y3kNCtwS"" target=""_blank""><img src=""https://i.postimg.cc/y3kNCtwS/1602772278801.jpg"" alt=""1602772278801""/></a><br/><br/>"
70566368,2020-10-15 18:52:40+00,-17.38648091,-66.15087896,2593,4,Botadero,,,,Hogar,Botadero nuevo,"<a href=""https://postimg.cc/fkrLfW97"" target=""_blank""><img src=""https://i.postimg.cc/fkrLfW97/1602773605239.jpg"" alt=""1602773605239""/></a><br/><br/>"
70566370,2020-10-15 18:52:42+00,-17.38557014,-66.15138154,2609,4.5,Botadero,,,,Orgánica,Nuevo botadero,"<a href=""https://postimg.cc/4YCxj8wm"" target=""_blank""><img src=""https://i.postimg.cc/4YCxj8wm/1602773796843.jpg"" alt=""1602773796843""/></a><br/><br/>"
70566372,2020-10-15 18:52:44+00,-17.39221124,-66.15089522,2594,5,Botadero,,,,Organica,,"<a href=""https://postimg.cc/PPvq3GWg"" target=""_blank""><img src=""https://i.postimg.cc/PPvq3GWg/1602776854695.jpg"" alt=""1602776854695""/></a><br/><br/>"
70566377,2020-10-15 18:52:45+00,-17.39326736,-66.15090528,2616,5,Botadero,,,,Varios,,"<a href=""https://postimg.cc/hhjvmQfP"" target=""_blank""><img src=""https://i.postimg.cc/hhjvmQfP/1602777569297.jpg"" alt=""1602777569297""/></a><br/><br/>"
70566379,2020-10-15 18:52:47+00,-17.39607358,-66.1547866,2609,5.5,Botadero,,,,Varios,,"<a href=""https://postimg.cc/pmDLvD1k"" target=""_blank""><img src=""https://i.postimg.cc/pmDLvD1k/1602778739668.jpg"" alt=""1602778739668""/></a><br/><br/>"
